ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2.x,LeafArea_cm2.y
COF0468,14,TRE,Lachemilla,orbiculata,T,C,4,1,1,6,NA,NA,NA,0.148,0.3,0.279,0.276,NA,4.7459999999999996,4.7459999999999996
AYG1241,14,TRE,Lachemilla,orbiculata,T,C,5,2,3,3.8,NA,NA,NA,0.104,0.226,0.246,0.228,NA,3.4099999999999997,3.4099999999999997
CEK1352,14,TRE,Paspalum,bonplandianum,T,C,1,1,5,5.7,8.6,NA,NA,0.058,0.131,0.141,0.139,NA,2.971,2.971
CMU0940,14,TRE,Vaccinium,floribundum,T,C,1,1,2,14,NA,5,NA,0.063,0.486,0.467,0.442,NA,1.6520000000000001,1.6520000000000001
CME5357,14,TRE,Vaccinium,floribundum,T,C,4,2,3,21,NA,5,NA,0.074,0.46,0.369,0.416,NA,2.571,2.571
AQN9078,14,TRE,Rhynchospora,macrochaeta,T,C,1,1,1,40.6,46.1,NA,NA,0.382,0.356,0.316,0.304,NA,11.698,11.698
CLO2466,14,TRE,Paspalum,bonplandianum,T,C,5,1,2,8.5,14,NA,NA,0.069,0.131,0.13,0.118,NA,4.549,4.549
CLW3373,14,TRE,Paspalum,bonplandianum,T,C,5,1,4,8.5,14,NA,NA,0.058,0.268,0.11,0.167,NA,3.937,3.937
CNH5018,14,TRE,Lachemilla,orbiculata,T,C,3,1,1,5.5,NA,NA,NA,0.114,0.282,0.308,0.285,NA,2.481,2.481
BUW5591,14,TRE,Paspalum,bonplandianum,T,C,2,2,5,6.5,7.3,NA,NA,0.032,0.238,0.174,0.12,NA,2.5359999999999996,2.5359999999999996
CNP7038,14,TRE,Lachemilla,orbiculata,T,C,3,2,1,4,NA,NA,NA,0.083,0.32,0.29,0.286,NA,2.301,2.301
