year,season,month,site,treatment,plot_id,family,functional_group,taxon,cover,burn_year,elevation,latitude,longitude,course
2018,wet_season,March,PIL,B,1,Rosaceae,Forb,Lachemilla jamesonii,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,1,Rubiaceae,Forb,Galium corymbosum,0.5,2007,3686.8,-13.151593,-71.640514,PFTC3
2018,wet_season,March,PIL,B,2,Cyperaceae,Graminoid,Carex bonplandii,1,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Cyperaceae,Graminoid,Carex pichinchensis,3,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Cyperaceae,Graminoid,Carex pygmaea,0.5,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Cyperaceae,Graminoid,Rhynchospora macrochaeta,1,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Ericaceae,Woody,Gaultheria glomerata,1,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Ericaceae,Woody,Vaccinium floribundum,0.5,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Gentianaceae,Forb,Gentiana sedifolia,0.5,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Hypericaceae,Woody,Hypericum andinum,0.5,2007,3686.9,-13.151584,-71.640511,PFTC3
2018,wet_season,March,PIL,B,2,Poaceae,Graminoid,Agrostis mertensii,0.5,2007,3686.9,-13.151584,-71.640511,PFTC3
